[2026-05-01 23:47:50] [INFO    ] discord.client: logging in using static token
[2026-05-01 23:47:50] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2026-05-01 23:47:50] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2026-05-01 23:47:50] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1499897738115158168', 'username': 'wordle.bot', 'avatar': '79053cdbe1445ef6ada1f6683129ddcb', 'discriminator': '5474', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': False, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2026-05-01 23:47:50] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2026-05-01 23:47:50] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2026-05-01 23:47:50] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1499897738115158168', 'name': 'wordle.bot', 'icon': '79053cdbe1445ef6ada1f6683129ddcb', 'description': '', 'type': None, 'bot': {'id': '1499897738115158168', 'username': 'wordle.bot', 'avatar': '79053cdbe1445ef6ada1f6683129ddcb', 'discriminator': '5474', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': 'b72f8fb9a706e86bb0a41fba21320e8dc58660a3495614352cc00e6a1ab95cee', 'flags': 565248, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '642126898406883328', 'username': 'jetjuice_', 'avatar': '518068b48e702b587721a83e02f45f3c', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': None, 'global_name': 'JumboJetJuice', 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'approximate_guild_count': 0, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 224, 'monetization_state': 1, 'verification_eligibility_flags': 91036, 'monetization_eligibility_flags': 181988, 'bot_approximate_guild_count': 1, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': [], 'pricing_localization_strategy': 'localized_price_sets'}
[2026-05-01 23:47:50] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2026-05-01 23:47:50] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-arm-us-east1-b-whc9",{"micros":0.0}]']}}
[2026-05-01 23:47:50] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2026-05-01 23:47:50] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2026-05-01 23:47:51] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'wordle.bot', 'primary_guild': None, 'mfa_enabled': False, 'id': '1499897738115158168', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '5474', 'clan': None, 'bot': True, 'avatar': '79053cdbe1445ef6ada1f6683129ddcb'}, 'session_type': 'normal', 'session_id': '03320e1a92cb82d3151aa17c9584ed65', 'resume_gateway_url': 'wss://gateway-us-east1-b.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1497312386284257491'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['london', 'brussels', 'rotterdam', 'paris', 'frankfurt'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1499897738115158168', 'flags_new': '565248', 'flags': 565248}, '_trace': ['["gateway-prd-arm-us-east1-b-whc9",{"micros":220622,"calls":["id_created",{"micros":821,"calls":[]},"session_lookup_time",{"micros":333,"calls":[]},"session_lookup_finished",{"micros":11,"calls":[]},"sessions-prd-gcp-us-east1-b-95",{"micros":219021,"calls":["start_session",{"micros":172678,"calls":["prd-rpc-69bbfcc96d-pkz6z",{"micros":49139,"calls":["get_user",{"micros":8244},"get_guilds",{"micros":16762},"send_scheduled_deletion_message",{"micros":19},"guild_join_requests",{"micros":4},"authorized_ip_coro",{"micros":11},"pending_payments",{"micros":1667},"apex_experiments",{"micros":89814},"sessions_experiments",{"micros":8},"played_application_ids",{"micros":5},"linked_users",{"micros":4},"ad_personalization_toggles_disabled",{"micros":4},"regional_feature_config",{"micros":4}]}]},"starting_guild_connect",{"micros":35,"calls":[]},"presence_started",{"micros":15924,"calls":[]},"guilds_started",{"micros":155,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":2,"calls":[]},"presence_connect",{"micros":30199,"calls":[]},"connect_finished",{"micros":30213,"calls":[]},"build_ready",{"micros":12,"calls":[]},"clean_ready",{"micros":2,"calls":[]},"optimize_ready",{"micros":0,"calls":[]},"split_ready",{"micros":0,"calls":[]}]}]}]']}}
[2026-05-01 23:47:51] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-05-01 23:47:51] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: 03320e1a92cb82d3151aa17c9584ed65).
[2026-05-01 23:47:51] [DEBUG   ] discord.client: Dispatching event connect
[2026-05-01 23:47:51] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'mfa_level': 0, 'premium_progress_bar_enabled': False, 'verification_role_id': None, 'soundboard_sounds': [], 'channels': [{'version': 1777057491984, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Text channels', 'id': '1497312387831828551', 'flags': 0}, {'version': 1777057491995, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Voice channels', 'id': '1497312387831828552', 'flags': 0}, {'version': 1777057492013, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1497312387831828551', 'name': 'general', 'last_message_id': '1499905033364312065', 'id': '1497312387831828553', 'icon_emoji': {'name': '👋', 'id': None}, 'flags': 0}, {'version': 1777057492026, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1497312387831828552', 'name': 'General', 'last_message_id': None, 'id': '1497312387831828554', 'icon_emoji': {'name': '🎙', 'id': None}, 'flags': 0, 'bitrate': 64000}], 'lazy': True, 'guild_scheduled_events': [], 'moderator_reporting': None, 'profile': None, 'member_count': 2, 'roles': [{'version': 1777057491972, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '2248473465835073', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '1497312386284257491', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1777674883081, 'unicode_emoji': None, 'tags': {'bot_id': '1499897738115158168'}, 'position': 1, 'permissions': '4503874505280512', 'name': 'wordle.bot', 'mentionable': False, 'managed': True, 'id': '1499901913716752396', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}], 'afk_channel_id': None, 'members': [{'user': {'username': 'wordle.bot', 'public_flags': 0, 'primary_guild': None, 'id': '1499897738115158168', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '5474', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': '79053cdbe1445ef6ada1f6683129ddcb'}, 'roles': ['1499901913716752396'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-05-01T22:34:43.106356+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'voice_states': [], 'hub_type': None, 'experiments': {'evaluation_id': None, 'assignments': []}, 'max_members': 25000000, 'premium_tier': 0, 'stickers': [], 'id': '1497312386284257491', 'unavailable': False, 'icon': '3310350b685aa011be06e179d4a80a66', 'banner': None, 'nsfw_level': 0, 'preferred_locale': 'en-US', 'name': 'test server', 'max_video_channel_users': 25, 'latest_onboarding_question_id': None, 'owner_id': '642126898406883328', 'rules_channel_id': None, 'afk_timeout': 300, 'application_id': None, 'official_message_color': None, 'threads': [], 'presences': [], 'system_channel_flags': 0, 'verification_level': 0, 'discovery_splash': None, 'features': [], 'region': 'deprecated', 'vanity_url_code': None, 'stage_instances': [], 'description': None, 'joined_at': '2026-05-01T22:34:43.106356+00:00', 'embedded_activities': [], 'premium_features': None, 'inventory_settings': None, 'application_command_counts': {}, 'home_header': None, 'game_application_ids': None, 'incidents_data': None, 'premium_subscription_count': 0, 'default_message_notifications': 0, 'explicit_content_filter': 0, 'public_updates_channel_id': None, 'owner_configured_content_level': 0, 'safety_alerts_channel_id': None, 'system_channel_id': '1497312387831828553', 'emojis': [], 'version': 1777057689510, 'premium_progress_bar_enabled_user_updated_at': None, 'splash': None, 'activity_instances': [], 'nsfw': False, 'max_stage_video_channel_users': 50, 'large': False}}
[2026-05-01 23:47:51] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-05-01 23:47:51] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_MEMBERS_CHUNK', 's': 3, 'op': 0, 'd': {'nonce': 'ef0b726bfd8b358c6d1e7428ad2db44d', 'members': [{'user': {'username': 'jetjuice_', 'public_flags': 0, 'primary_guild': None, 'id': '642126898406883328', 'global_name': 'JumboJetJuice', 'display_name_styles': None, 'display_name': 'JumboJetJuice', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '518068b48e702b587721a83e02f45f3c'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-04-24T19:04:51.814000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'wordle.bot', 'public_flags': 0, 'primary_guild': None, 'id': '1499897738115158168', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '5474', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': '79053cdbe1445ef6ada1f6683129ddcb'}, 'roles': ['1499901913716752396'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-05-01T22:34:43.106356+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'guild_id': '1497312386284257491', 'chunk_index': 0, 'chunk_count': 1}}
[2026-05-01 23:47:51] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-05-01 23:47:51] [DEBUG   ] discord.state: Processed a chunk for 2 members in guild ID 1497312386284257491.
[2026-05-01 23:47:53] [DEBUG   ] discord.client: Dispatching event guild_available
[2026-05-01 23:47:53] [DEBUG   ] discord.client: Dispatching event ready
[2026-05-01 23:47:56] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 4, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2026-05-01T22:47:57.093000+00:00', 'pinned': False, 'nonce': '1499905242559414272', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-04-24T19:04:51.814000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1499905244132413512', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '/commands', 'components': [], 'channel_type': 0, 'channel_id': '1497312387831828553', 'author': {'username': 'jetjuice_', 'public_flags': 0, 'primary_guild': None, 'id': '642126898406883328', 'global_name': 'JumboJetJuice', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': '518068b48e702b587721a83e02f45f3c'}, 'attachments': [], 'guild_id': '1497312386284257491'}}
[2026-05-01 23:47:56] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-05-01 23:47:56] [DEBUG   ] discord.client: Dispatching event message
[2026-05-01 23:47:56] [DEBUG   ] discord.client: Dispatching event command
[2026-05-01 23:47:57] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 5, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2026-05-01T22:47:57.346000+00:00', 'pinned': False, 'nonce': '10518396089815624794', 'mentions': [{'username': 'jetjuice_', 'public_flags': 0, 'primary_guild': None, 'member': {'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-04-24T19:04:51.814000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '642126898406883328', 'global_name': 'JumboJetJuice', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': '518068b48e702b587721a83e02f45f3c'}], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1499901913716752396'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-05-01T22:34:43.106356+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1499905245193568417', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '<@642126898406883328> Current commands include /starting_word. Work in progress! Please suggest more starting words in the #suggestions channel!', 'components': [], 'channel_type': 0, 'channel_id': '1497312387831828553', 'author': {'username': 'wordle.bot', 'public_flags': 0, 'primary_guild': None, 'id': '1499897738115158168', 'global_name': None, 'display_name_styles': None, 'discriminator': '5474', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': '79053cdbe1445ef6ada1f6683129ddcb'}, 'attachments': [], 'guild_id': '1497312386284257491'}}
[2026-05-01 23:47:57] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-05-01 23:47:57] [DEBUG   ] discord.client: Dispatching event message
[2026-05-01 23:47:57] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1497312387831828553/messages with {"content":"<@642126898406883328> Current commands include /starting_word. Work in progress! Please suggest more starting words in the #suggestions channel!","components":[],"nonce":"10518396089815624794","enforce_nonce":true,"tts":false} has returned 200
[2026-05-01 23:47:57] [DEBUG   ] discord.http: POST /channels/{channel_id}/messages has found its initial rate limit bucket hash (62df3a8bf3cb0dd93018dd80d06039f6).
[2026-05-01 23:47:57] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1497312387831828553/messages has received {'type': 0, 'content': '<@642126898406883328> Current commands include /starting_word. Work in progress! Please suggest more starting words in the #suggestions channel!', 'mentions': [{'id': '642126898406883328', 'username': 'jetjuice_', 'avatar': '518068b48e702b587721a83e02f45f3c', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': None, 'global_name': 'JumboJetJuice', 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}], 'mention_roles': [], 'attachments': [], 'embeds': [], 'timestamp': '2026-05-01T22:47:57.346000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1499905245193568417', 'channel_id': '1497312387831828553', 'author': {'id': '1499897738115158168', 'username': 'wordle.bot', 'avatar': '79053cdbe1445ef6ada1f6683129ddcb', 'discriminator': '5474', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False, 'nonce': '10518396089815624794'}
[2026-05-01 23:47:57] [DEBUG   ] discord.client: Dispatching event command_completion
[2026-05-01 23:48:04] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 6, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2026-05-01T22:48:04.320000+00:00', 'pinned': False, 'nonce': '1499905272989089792', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-04-24T19:04:51.814000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1499905274444648518', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '/starting_word', 'components': [], 'channel_type': 0, 'channel_id': '1497312387831828553', 'author': {'username': 'jetjuice_', 'public_flags': 0, 'primary_guild': None, 'id': '642126898406883328', 'global_name': 'JumboJetJuice', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': '518068b48e702b587721a83e02f45f3c'}, 'attachments': [], 'guild_id': '1497312386284257491'}}
[2026-05-01 23:48:04] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-05-01 23:48:04] [DEBUG   ] discord.client: Dispatching event message
[2026-05-01 23:48:04] [DEBUG   ] discord.client: Dispatching event command
[2026-05-01 23:48:04] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1497312387831828553/messages with {"content":"Here is a starting word for you!: \"STILT\"","components":[],"nonce":"18438611169791787315","enforce_nonce":true,"tts":false} has returned 200
